manager,group,source_file,topic_id,bucket,category,subcategory,page,raw_wording,why
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,equities_overall,equities,overall,overall,10-11,Notre stratégie d’investissement reste prudente et équilibrée entre actions et obligations. Elle privilégie les petites valeurs européennes au détriment des grandes capitalisations américaines liées notamment à l'IA.,Selective equity stance rather than broad-beta risk taking.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,equities_geography_europe,equities,geography,europe,11,"Les petites capitalisations européennes devraient bénéficier du recentrage vers une croissance plus domestique, de l’union des marchés de capitaux mais aussi d’éventuelles baisses de taux de la BCE.","Europe benefits from domestic recovery, capital-markets union, and ECB easing."
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,equities_size_large_cap,equities,size,large_cap,10-11,Nous restons prudents sur les grandes capitalisations liées à l’IA (notamment les MAG7) et privilégions les petites valeurs européennes au détriment des grandes capitalisations américaines liées à l'IA.,Crowded US AI mega-caps are explicitly de-emphasized.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,equities_size_small_cap,equities,size,small_cap,11,"Les petites capitalisations européennes devraient bénéficier du recentrage vers une croissance plus domestique, de l’union des marchés de capitaux mais aussi d’éventuelles baisses de taux de la BCE.",European small caps are presented as under-owned recovery beneficiaries.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,equities_style_value,equities,style,value,11,Les valeurs américaines Value ont également leur place dans cette recherche de diversification. Elles pourraient tirer parti d’un possible retour à une politique économique très expansionniste aux États-Unis.,US value is part of the diversification basket.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,fixed_income_overall,fixed_income,overall,overall,11,"Nous privilégions ainsi les dettes hybrides financières et d’entreprises, essentiellement dans un univers d’émetteurs Investment Grade, ainsi que la dette émergente, qui devrait profiter de l’assouplissement monétaire de la Fed, et enfin les stratégies de portage.",Preference for spread and carry products rather than pure sovereign duration.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,fixed_income_credit_quality_investment_grade,fixed_income,credit_quality,investment_grade,11,"Nous privilégions ainsi les dettes hybrides financières et d’entreprises, essentiellement dans un univers d’émetteurs Investment Grade.",Investment-grade issuers are explicitly preferred.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,fixed_income_segment_corporate_bonds,fixed_income,segment,corporate_bonds,11,"Nous privilégions ainsi les dettes hybrides financières et d’entreprises, essentiellement dans un univers d’émetteurs Investment Grade.",Financial and corporate hybrids are favored.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,fixed_income_segment_em_debt,fixed_income,segment,em_debt,11,"Nous privilégions ainsi la dette émergente, qui devrait profiter de l’assouplissement monétaire de la Fed.",EM debt is a named beneficiary of Fed easing.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,commodities_gold,commodities,commodity,gold,11,Les valeurs aurifères pourraient à nouveau tirer leur épingle du jeu si la recomposition au sein de la Réserve Fédérale devait se traduire par une empreinte politique plus marquée.,Gold-linked exposure is supported as a hedge against politicized Fed risk.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,themes_ai,themes,theme,ai,10-11,"Nous restons prudents sur les grandes capitalisations liées à l’IA et privilégions plutôt le thème du Big Data, en particulier les entreprises utilisatrices qui pourront le mieux tirer parti de l’IA.",Favors AI users and Big Data while staying cautious on crowded AI leaders.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,themes_healthcare,themes,theme,healthcare,11,"Le secteur de la santé répond également à ces caractéristiques. Longtemps pénalisé par des obstacles d’ordre politique, il voit désormais son horizon s’éclaircir et commence à reprendre des couleurs.",Healthcare is treated as a preferred and recovering theme.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,themes_defense_sovereignty,themes,theme,defense_sovereignty,10,"Nous privilégions également les entreprises qui bénéficieront du thème de la résilience et de la souveraineté, aussi bien au niveau mondial qu’européen, la mise en œuvre du rapport Draghi étant l’un des objectifs prioritaires de la Commission européenne.","Sovereignty is an explicit preferred theme, especially in Europe."
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,themes_other,themes,theme,other,10-11,"Notre stratégie d’investissement privilégie les thématiques de la résilience, la santé et le Big Data.",Resilience and Big Data are recurring preferred themes beyond the standard buckets.
Amundi,G2 Market giants,AMUNDI - Perspectives d'investissement 2026.pdf,equities_overall,equities,overall,overall,4,"La diversification reste la meilleure défense dans un monde où les marchés actions sont concentrés et les valorisations élevées. Il convient de rééquilibrer les portefeuilles entre les styles, les secteurs, les tailles et les régions.","Constructive equity stance, but diversified beyond concentrated winners."
Amundi,G2 Market giants,AMUNDI - Perspectives d'investissement 2026.pdf,equities_geography_europe,equities,geography,europe,4,"Il convient de rééquilibrer les portefeuilles afin de saisir les opportunités, notamment sur les marchés émergents et les actifs européens.",European assets are explicitly highlighted in the diversification push.
Amundi,G2 Market giants,AMUNDI - Perspectives d'investissement 2026.pdf,equities_geography_em,equities,geography,em,4,"Il convient de rééquilibrer les portefeuilles afin de saisir les opportunités, notamment sur les marchés émergents et les actifs européens.",Emerging markets are highlighted as part of the preferred diversification set.
Amundi,G2 Market giants,AMUNDI - Perspectives d'investissement 2026.pdf,equities_size_small_cap,equities,size,small_cap,4,"La dynamique européenne se maintient. Cela peut créer des opportunités dans le crédit d’entreprise en euro, les petites et moyennes capitalisations et les thèmes liés à la défense, aux infrastructures et à l’autonomie stratégique.",European SMID exposure is explicitly favored.
Amundi,G2 Market giants,AMUNDI - Perspectives d'investissement 2026.pdf,fixed_income_credit_quality_investment_grade,fixed_income,credit_quality,investment_grade,4,"Dans ce nouveau paradigme, nous privilégions les obligations européennes et, aux États-Unis, le crédit investment grade par rapport aux bons du Trésor américain plus volatils.",Investment grade is preferred over more volatile US Treasuries.
Amundi,G2 Market giants,AMUNDI - Perspectives d'investissement 2026.pdf,fixed_income_segment_corporate_bonds,fixed_income,segment,corporate_bonds,4,La dynamique européenne se maintient. Cela peut créer des opportunités dans le crédit d’entreprise en euro.,Euro corporate credit is an explicit opportunity.
