fund,action,rank,client_key,business_relationship,country,segment,score,current_target_aum_eur,total_relationship_aum_eur,reason_1,reason_2,reason_3
EDR SICAV - Corporate Hybrid Bonds,defend,1,VCT - VECTOR GESTION SA | SWITZERLAND | Independant Financial Advisor,VCT - VECTOR GESTION SA,SWITZERLAND,Independant Financial Advisor,80.85,8310529.0,8333385.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,defend,2,ARCA FONDI SGR SPA | ITALY | AM company / Fund of Funds,ARCA FONDI SGR SPA,ITALY,AM company / Fund of Funds,80.16,34456030.0,34456030.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,defend,3,BANCO DE INVESTIMENTO GLOBAL (BIG) / ALLFUNDS INTERN | PORTUGAL | Bank / Retail,BANCO DE INVESTIMENTO GLOBAL (BIG) / ALLFUNDS INTERN,PORTUGAL,Bank / Retail,78.13,12846075.0,13784040.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,defend,4,EDR SUISSE - GENEVE / Managed | SWITZERLAND | Bank / EdR Private Banking,EDR SUISSE - GENEVE / Managed,SWITZERLAND,Bank / EdR Private Banking,77.48,82724304.0,456962754.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EDR SICAV - Corporate Hybrid Bonds,defend,5,CARMF REGIME A.S.V. | FRANCE | Pension Fund / Other,CARMF REGIME A.S.V.,FRANCE,Pension Fund / Other,75.84,10437565.0,10437565.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,defend,6,EDR SUISSE - GENEVE / Advisory | SWITZERLAND | Bank / EdR Private Banking,EDR SUISSE - GENEVE / Advisory,SWITZERLAND,Bank / EdR Private Banking,75.38,34841515.0,270854383.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EDR SICAV - Corporate Hybrid Bonds,defend,7,OFI  INVEST ASSET MANAGEMENT | FRANCE | AM company / Own account,OFI  INVEST ASSET MANAGEMENT,FRANCE,AM company / Own account,74.14,28243869.0,50208329.0,large installed holding in the target fund,large existing EdRAM relationship,target fund already matters within this relationship
EDR SICAV - Corporate Hybrid Bonds,defend,8,MEDIOBANCA - PB | ITALY | Bank / Private Banking,MEDIOBANCA - PB,ITALY,Bank / Private Banking,74.13,4436862.0,4436862.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,defend,9,"EDR SUISSE, SUCCURSALE DE LUGANO / Managed | SWITZERLAND | Bank / EdR Private Banking","EDR SUISSE, SUCCURSALE DE LUGANO / Managed",SWITZERLAND,Bank / EdR Private Banking,74.03,27757080.0,161330036.0,large installed holding in the target fund,large existing EdRAM relationship,fund already shows product-market fit in this country
EDR SICAV - Corporate Hybrid Bonds,defend,10,MESSIEURS HOTTINGUER & CIE - GESTION PRIVEE | FRANCE | Bank / Private Banking,MESSIEURS HOTTINGUER & CIE - GESTION PRIVEE,FRANCE,Bank / Private Banking,73.91,6696494.0,8103877.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,defend,11,MESSIEURS HOTTINGUER & CIE-GESTION PRIVEE / NO REBATES | FRANCE | Bank / Private Banking,MESSIEURS HOTTINGUER & CIE-GESTION PRIVEE / NO REBATES,FRANCE,Bank / Private Banking,73.76,6578834.0,7557685.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,defend,12,ARCORA GESTION SA | SWITZERLAND | Independant Financial Advisor,ARCORA GESTION SA,SWITZERLAND,Independant Financial Advisor,73.67,1064956.0,1064956.0,large installed holding in the target fund,target fund already matters within this relationship,fund already shows product-market fit in this country
EDR SICAV - Corporate Hybrid Bonds,defend,13,UBS AG | SWITZERLAND | Bank / Retail,UBS AG,SWITZERLAND,Bank / Retail,73.22,8491535.0,22013147.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EDR SICAV - Corporate Hybrid Bonds,defend,14,HYPOSWISS ADVISORS | SWITZERLAND | Independant Financial Advisor,HYPOSWISS ADVISORS,SWITZERLAND,Independant Financial Advisor,73.01,877075.0,877075.0,large installed holding in the target fund,target fund already matters within this relationship,fund already shows product-market fit in this country
EDR SICAV - Corporate Hybrid Bonds,defend,15,FRANSAD GESTION | SWITZERLAND | Independant Financial Advisor,FRANSAD GESTION,SWITZERLAND,Independant Financial Advisor,72.98,7164022.0,12432783.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,defend,16,GVA ASSOCIES SA | SWITZERLAND | Independant Financial Advisor,GVA ASSOCIES SA,SWITZERLAND,Independant Financial Advisor,72.69,865095.0,1015516.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,defend,17,FIDEURAM / ALLFUNDS | ITALY | AM company / Fund of Funds,FIDEURAM / ALLFUNDS,ITALY,AM company / Fund of Funds,72.6,52914141.0,168634750.0,large installed holding in the target fund,large existing EdRAM relationship,fund already shows product-market fit in this country
EDR SICAV - Corporate Hybrid Bonds,defend,18,"EDR SUISSE, SUCCURSALE DE LAUSANNE / Managed | SWITZERLAND | Bank / EdR Private Banking","EDR SUISSE, SUCCURSALE DE LAUSANNE / Managed",SWITZERLAND,Bank / EdR Private Banking,72.52,14480268.0,74712061.0,large installed holding in the target fund,large existing EdRAM relationship,fund already shows product-market fit in this country
EDR SICAV - Corporate Hybrid Bonds,defend,19,EDRAM FUNDS | WORLD | AM company / EdR Fund of Funds,EDRAM FUNDS,WORLD,AM company / EdR Fund of Funds,72.13,49850312.0,730478739.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EDR SICAV - Corporate Hybrid Bonds,defend,20,"EDR France, PBIA PARIS / Assurances Vie / Managed | FRANCE | Bank / EdR Private Banking","EDR France, PBIA PARIS / Assurances Vie / Managed",FRANCE,Bank / EdR Private Banking,71.96,54924385.0,566310302.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EDR SICAV - Corporate Hybrid Bonds,defend,21,CNAVPL (Introduced client) | FRANCE | Pension Fund / Other,CNAVPL (Introduced client),FRANCE,Pension Fund / Other,71.89,35006531.0,65496199.0,large installed holding in the target fund,large existing EdRAM relationship,target fund already matters within this relationship
EDR SICAV - Corporate Hybrid Bonds,defend,22,EDR ITALIA PB/ALLFUNDS/Managed | ITALY | Bank / EdR Private Banking,EDR ITALIA PB/ALLFUNDS/Managed,ITALY,Bank / EdR Private Banking,71.72,26212257.0,135274793.0,large installed holding in the target fund,large existing EdRAM relationship,fund already shows product-market fit in this country
EDR SICAV - Corporate Hybrid Bonds,defend,23,LA CIPAV | FRANCE | Pension Fund / Other,LA CIPAV,FRANCE,Pension Fund / Other,70.72,75400242.0,199839307.0,large installed holding in the target fund,large existing EdRAM relationship,segment is a natural fit for this fund
EDR SICAV - Corporate Hybrid Bonds,defend,24,CAISSE DE PRÉVOYANCE ET DE RETRAITE DES NOTAIRES | FRANCE | Pension Fund / Other,CAISSE DE PRÉVOYANCE ET DE RETRAITE DES NOTAIRES,FRANCE,Pension Fund / Other,70.55,32906131.0,69358242.0,large installed holding in the target fund,large existing EdRAM relationship,target fund already matters within this relationship
EDR SICAV - Corporate Hybrid Bonds,defend,25,REVERSAL SIM | ITALY | AM company / Fund of Funds,REVERSAL SIM,ITALY,AM company / Fund of Funds,70.55,3207098.0,4457960.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,1,TALENCE GESTION SGIIC S.A. | FRANCE | AM company / Fund of Funds,TALENCE GESTION SGIIC S.A.,FRANCE,AM company / Fund of Funds,54.58,-21833.0,-7964.0,client already uses adjacent sleeves/products,segment is a natural fit for this fund,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,2,PLATINIUM GESTION SAS | FRANCE | AM company / Fund of Funds,PLATINIUM GESTION SAS,FRANCE,AM company / Fund of Funds,53.26,0.0,-12903.0,client already uses adjacent sleeves/products,segment is a natural fit for this fund,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,3,EFG BANK (SUISSE) - CUSTODIAN | SWITZERLAND | Bank / Private Banking,EFG BANK (SUISSE) - CUSTODIAN,SWITZERLAND,Bank / Private Banking,51.46,0.0,1098348.0,client already uses adjacent sleeves/products,segment is a natural fit for this fund,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,4,SG M&R SA | SWITZERLAND | Independant Financial Advisor,SG M&R SA,SWITZERLAND,Independant Financial Advisor,49.15,0.0,1108230.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,5,CM-CIC GESTION | FRANCE | AM company / Fund of Funds,CM-CIC GESTION,FRANCE,AM company / Fund of Funds,48.83,-124581.0,53285098.0,segment is a natural fit for this fund,large existing EdRAM relationship,client already uses adjacent sleeves/products
EDR SICAV - Corporate Hybrid Bonds,cross_sell,6,MUTUELLE EPARGNE RETRAITE PREVOYANCE CARAC | FRANCE | Insurance Company / Mutuelle,MUTUELLE EPARGNE RETRAITE PREVOYANCE CARAC,FRANCE,Insurance Company / Mutuelle,48.42,0.0,8124025.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,7,LUXCELLENCE SICAV - INTEGRITAS / Managed | ITALY | AM company / Fund of Funds,LUXCELLENCE SICAV - INTEGRITAS / Managed,ITALY,AM company / Fund of Funds,48.09,0.0,7641218.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,8,FILOTIMO ASSET MANAGEMENT SA | SWITZERLAND | Independant Financial Advisor,FILOTIMO ASSET MANAGEMENT SA,SWITZERLAND,Independant Financial Advisor,48.03,0.0,206012.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,9,MALAKOFF HUMANIS PREVOYANCE (Introduced client) | FRANCE | Pension Fund / Other,MALAKOFF HUMANIS PREVOYANCE (Introduced client),FRANCE,Pension Fund / Other,47.33,0.0,21795983.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,10,KENDRA SECURITIES HOUSE SA | SWITZERLAND | Independant Financial Advisor,KENDRA SECURITIES HOUSE SA,SWITZERLAND,Independant Financial Advisor,47.18,0.0,305988.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,11,BANCA CESARE PONTI / AFB ITALY | ITALY | AM company / Fund of Funds,BANCA CESARE PONTI / AFB ITALY,ITALY,AM company / Fund of Funds,46.82,0.0,3955907.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,12,BANCA ALETTI | ITALY | AM company / Fund of Funds,BANCA ALETTI,ITALY,AM company / Fund of Funds,46.31,0.0,18584557.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,13,CREDIT MUTUEL ASSET MANAGEMENT | FRANCE | AM company / Fund of Funds,CREDIT MUTUEL ASSET MANAGEMENT,FRANCE,AM company / Fund of Funds,46.14,0.0,69141538.0,segment is a natural fit for this fund,large existing EdRAM relationship,client already uses adjacent sleeves/products
EDR SICAV - Corporate Hybrid Bonds,cross_sell,14,INTESA SAN PAOLO ASSICURAZIONI / ALLFUNDS | ITALY | Insurance Company / Own Account,INTESA SAN PAOLO ASSICURAZIONI / ALLFUNDS,ITALY,Insurance Company / Own Account,46.13,0.0,284989924.0,large existing EdRAM relationship,client already uses adjacent sleeves/products,ticket size supports a meaningful allocation
EDR SICAV - Corporate Hybrid Bonds,cross_sell,15,NS Partners SA | SWITZERLAND | AM company / Fund of Funds,NS Partners SA,SWITZERLAND,AM company / Fund of Funds,46.01,0.0,10393554.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,16,PLUS ONE SA | SWITZERLAND | Independant Financial Advisor,PLUS ONE SA,SWITZERLAND,Independant Financial Advisor,45.95,0.0,82493.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,17,PIC FINANCE SA | SWITZERLAND | Independant Financial Advisor,PIC FINANCE SA,SWITZERLAND,Independant Financial Advisor,45.72,0.0,1372460.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,18,EDRAM FUNDS LUX / EDR F / BOND ALLOC – Rétro fonds EDRAM | LUXEMBOURG | AM company / EdR Fund of Funds,EDRAM FUNDS LUX / EDR F / BOND ALLOC – Rétro fonds EDRAM,LUXEMBOURG,AM company / EdR Fund of Funds,45.48,0.0,15950414.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,19,GEREMANT SA | SWITZERLAND | Independant Financial Advisor,GEREMANT SA,SWITZERLAND,Independant Financial Advisor,45.41,0.0,317133.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,20,GENERATION ALFA SA | SWITZERLAND | Independant Financial Advisor,GENERATION ALFA SA,SWITZERLAND,Independant Financial Advisor,45.37,0.0,387695.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,21,ARCUS FINANCE S.A. | SWITZERLAND | Independant Financial Advisor,ARCUS FINANCE S.A.,SWITZERLAND,Independant Financial Advisor,45.17,0.0,124610.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,22,PRIMUS GESTIONE PATRIMONIALE SA | SWITZERLAND | Independant Financial Advisor,PRIMUS GESTIONE PATRIMONIALE SA,SWITZERLAND,Independant Financial Advisor,45.17,0.0,1235017.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,23,"BANKINTER, S.A. SUCURSAL EM PORTUGAL / ALLFUNDS INTERN | PORTUGAL | Bank / Private Banking","BANKINTER, S.A. SUCURSAL EM PORTUGAL / ALLFUNDS INTERN",PORTUGAL,Bank / Private Banking,44.99,0.0,58966138.0,large existing EdRAM relationship,client already uses adjacent sleeves/products,segment is a natural fit for this fund
EDR SICAV - Corporate Hybrid Bonds,cross_sell,24,LA BANQUE POSTALE ASSET MANAGEMENT / FUND CHANNEL | FRANCE | AM company / Fund of Funds,LA BANQUE POSTALE ASSET MANAGEMENT / FUND CHANNEL,FRANCE,AM company / Fund of Funds,44.88,0.0,2113531.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,cross_sell,25,GESTAIA FINANCE S.A. | SWITZERLAND | Independant Financial Advisor,GESTAIA FINANCE S.A.,SWITZERLAND,Independant Financial Advisor,44.85,0.0,175531.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,new_allocation,1,"MGEFI (Mutuelle générale de l'économie, des finances et de l'industrie) | FRANCE | Insurance Company / Mutuelle","MGEFI (Mutuelle générale de l'économie, des finances et de l'industrie)",FRANCE,Insurance Company / Mutuelle,78.6,0.0,8413090.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
