manager,group,source_file,topic_id,bucket,category,subcategory,view,page,raw_wording,why
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,equities_overall,equities,overall,overall,mixed,10-11,Notre stratégie d’investissement reste prudente et équilibrée entre actions et obligations. Elle privilégie les petites valeurs européennes au détriment des grandes capitalisations américaines liées notamment à l'IA.,Selective equity stance rather than broad-beta risk taking.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,equities_geography_us,equities,geography,us,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,equities_geography_europe,equities,geography,europe,positive,11,"Les petites capitalisations européennes devraient bénéficier du recentrage vers une croissance plus domestique, de l’union des marchés de capitaux mais aussi d’éventuelles baisses de taux de la BCE.","Europe benefits from domestic recovery, capital-markets union, and ECB easing."
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,equities_geography_japan,equities,geography,japan,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,equities_geography_em,equities,geography,em,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,equities_geography_china,equities,geography,china,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,equities_size_large_cap,equities,size,large_cap,underweight,10-11,Nous restons prudents sur les grandes capitalisations liées à l’IA (notamment les MAG7) et privilégions les petites valeurs européennes au détriment des grandes capitalisations américaines liées à l'IA.,Crowded US AI mega-caps are explicitly de-emphasized.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,equities_size_small_cap,equities,size,small_cap,positive,11,"Les petites capitalisations européennes devraient bénéficier du recentrage vers une croissance plus domestique, de l’union des marchés de capitaux mais aussi d’éventuelles baisses de taux de la BCE.",European small caps are presented as under-owned recovery beneficiaries.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,equities_style_growth,equities,style,growth,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,equities_style_value,equities,style,value,positive,11,Les valeurs américaines Value ont également leur place dans cette recherche de diversification. Elles pourraient tirer parti d’un possible retour à une politique économique très expansionniste aux États-Unis.,US value is part of the diversification basket.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,equities_style_quality,equities,style,quality,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,fixed_income_overall,fixed_income,overall,overall,positive,11,"Nous privilégions ainsi les dettes hybrides financières et d’entreprises, essentiellement dans un univers d’émetteurs Investment Grade, ainsi que la dette émergente, qui devrait profiter de l’assouplissement monétaire de la Fed, et enfin les stratégies de portage.",Preference for spread and carry products rather than pure sovereign duration.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,fixed_income_credit_quality_investment_grade,fixed_income,credit_quality,investment_grade,positive,11,"Nous privilégions ainsi les dettes hybrides financières et d’entreprises, essentiellement dans un univers d’émetteurs Investment Grade.",Investment-grade issuers are explicitly preferred.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,fixed_income_credit_quality_high_yield,fixed_income,credit_quality,high_yield,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,fixed_income_duration,fixed_income,duration,overall,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,fixed_income_segment_government_bonds,fixed_income,segment,government_bonds,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,fixed_income_segment_corporate_bonds,fixed_income,segment,corporate_bonds,positive,11,"Nous privilégions ainsi les dettes hybrides financières et d’entreprises, essentiellement dans un univers d’émetteurs Investment Grade.",Financial and corporate hybrids are favored.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,fixed_income_segment_em_debt,fixed_income,segment,em_debt,positive,11,"Nous privilégions ainsi la dette émergente, qui devrait profiter de l’assouplissement monétaire de la Fed.",EM debt is a named beneficiary of Fed easing.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,fixed_income_segment_inflation_linked,fixed_income,segment,inflation_linked,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,currencies_overall,currencies,overall,overall,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,currencies_usd,currencies,currency,usd,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,currencies_eur,currencies,currency,eur,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,currencies_jpy,currencies,currency,jpy,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,currencies_em_fx,currencies,currency,em_fx,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,commodities_overall,commodities,overall,overall,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,commodities_gold,commodities,commodity,gold,positive,11,Les valeurs aurifères pourraient à nouveau tirer leur épingle du jeu si la recomposition au sein de la Réserve Fédérale devait se traduire par une empreinte politique plus marquée.,Gold-linked exposure is supported as a hedge against politicized Fed risk.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,commodities_oil,commodities,commodity,oil,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,commodities_industrial_metals,commodities,commodity,industrial_metals,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,themes_ai,themes,theme,ai,mixed,10-11,"Nous restons prudents sur les grandes capitalisations liées à l’IA et privilégions plutôt le thème du Big Data, en particulier les entreprises utilisatrices qui pourront le mieux tirer parti de l’IA.",Favors AI users and Big Data while staying cautious on crowded AI leaders.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,themes_healthcare,themes,theme,healthcare,positive,11,"Le secteur de la santé répond également à ces caractéristiques. Longtemps pénalisé par des obstacles d’ordre politique, il voit désormais son horizon s’éclaircir et commence à reprendre des couleurs.",Healthcare is treated as a preferred and recovering theme.
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,themes_energy_transition,themes,theme,energy_transition,,,,
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,themes_geopolitical_risk,themes,theme,geopolitical_risk,,,,
