manager,group,source_file,global_growth_2026_value,global_growth_2026_why,global_growth_2026_page,global_growth_2026_raw_wording,us_gdp_2026_value,us_gdp_2026_why,us_gdp_2026_page,us_gdp_2026_raw_wording,eurozone_gdp_2026_value,eurozone_gdp_2026_why,eurozone_gdp_2026_page,eurozone_gdp_2026_raw_wording,china_gdp_2026_value,china_gdp_2026_why,china_gdp_2026_page,china_gdp_2026_raw_wording,em_growth_2026_value,em_growth_2026_why,em_growth_2026_page,em_growth_2026_raw_wording,global_inflation_2026_value,global_inflation_2026_why,global_inflation_2026_page,global_inflation_2026_raw_wording,us_inflation_2026_value,us_inflation_2026_why,us_inflation_2026_page,us_inflation_2026_raw_wording,eurozone_inflation_2026_value,eurozone_inflation_2026_why,eurozone_inflation_2026_page,eurozone_inflation_2026_raw_wording,fed_year_end_rate_2026_value,fed_year_end_rate_2026_why,fed_year_end_rate_2026_page,fed_year_end_rate_2026_raw_wording,ecb_deposit_rate_year_end_2026_value,ecb_deposit_rate_year_end_2026_why,ecb_deposit_rate_year_end_2026_page,ecb_deposit_rate_year_end_2026_raw_wording,snb_policy_rate_year_end_2026_value,snb_policy_rate_year_end_2026_why,snb_policy_rate_year_end_2026_page,snb_policy_rate_year_end_2026_raw_wording,eur_usd_2026_value,eur_usd_2026_why,eur_usd_2026_page,eur_usd_2026_raw_wording
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,3.0,EdRAM still sees solid world growth,14,liser dans un contexte de bonne tenue de la croissance mondiale.,1.6,EdRAM sees U.S. growth as soft and uncertain,14,la croissance est atone et incertaine aux Etats-Unis,1.4,German fiscal spending supports Europe,14,l Europe plus en amont du cycle devrait beneficier des depenses budgetaires allemandes en 2026.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,2.75,Tariffs and policy uncertainty keep world growth modest,3,Nous tablons sur une croissance mondiale a nouveau moderee en 2026.,1.5,Tariffs and weaker employment keep U.S. growth below trend,8,"Nous anticipons un nouvel affaiblissement du marche de l'emploi et une croissance inferieure a son potentiel, en raison des effets croissants des droits de douane sur les entreprises et les consommateurs en 2026",1.1,German fiscal support keeps eurozone growth just above 1%,9,Nous tablons sur une croissance moderee depassant legerement 1% dans la zone euro,4.1,Gradual China slowdown persists despite ongoing support,5,Ces considerations nous amenent a prevoir un ralentissement progressif de la croissance chinoise qui devrait passer a un peu plus de 4% en 2026.,,,,,,,,,3.1,Tariffs keep U.S. inflation above target in early 2026,8,"nous pensons que l'indice des depenses de consommation personnelle (PCE) terminera l'annee 2026 au-dessus de l'objectif, apres avoir atteint un pic d'un peu plus de 3% en debut d'annee",2.0,Eurozone inflation stays close to target,5,avec des taux d'interet inchanges et une inflation globalement alignee sur l'objectif tout au long de l'annee,3.0,Labour-market weakening eventually allows Fed easing,8,nous tablons sur des taux directeurs d'environ 3% fin 2026.,2.0,ECB keeps rates steady as inflation stays contained,9,Nous pensons que l'inflation sera maitrisee et que les taux directeurs seront maintenus a 2% cette annee.,0.0,SNB keeps rates at zero absent a sharper slowdown,10,les taux d'interet devraient etre maintenus a 0% en 2026 sauf en cas de ralentissement marque de la croissance ou de l'inflation.,1.22,Fed easing and a softer dollar lift EUR/USD,29,"Nous tablons sur une appreciation de l'euro aux alentours de 1,22 contre dollar."
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,3.0,Favorable policy mix supports global growth,docx-unpaginated,Le contexte favorable devrait soutenir la croissance mondiale en 2026 et reduire les ecarts creuses par l economie en K.,2.1,U.S. growth accelerates early on fiscal support,docx-unpaginated,Aux Etats-Unis la croissance devrait s accelerer en debut d annee dans le sillage de la fin de la paralysie budgetaire et des promesses de soutien aux menages.,1.4,Eurozone recovery is backed by Germanys fiscal programme,docx-unpaginated,En Europe la reprise s appuiera sur le vaste programme budgetaire de l Allemagne.,4.7,China gains from easing trade uncertainty and stimulus,docx-unpaginated,Une acceleration plus tardive est attendue en Chine. Le pays devrait tirer profit de l attenuation des incertitudes commerciales et mettre en oeuvre des mesures destinees a stimuler son economie.,,,,,,,,,3.25,U.S. inflation edges back up,docx-unpaginated,L inflation devrait remonter d un cran aux Etats-Unis,1.7,Eurozone inflation keeps slowing,docx-unpaginated,L inflation devrait ralentir au sein de la zone euro.,,,,,,,,,,,,,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,3.0,"AI, defence and fiscal spending support world growth",2,"2026 devrait connaître une croissance équivalente à celle de 2025, autour de 3 %",2.0,Fiscal stimulus and Fed easing reaccelerate the US,2,"Après une année de chocs politiques, l’économie devrait réaccélérer vers les 2%",1.2,Merz plan and fiscal impulse lift the eurozone,2,"la croissance devrait rebondir vers un modeste mais acceptable 1,2%",4.0,Fresh stimulus is needed to keep China at 4%,3,Pékin n’aura d’autre choix que d’élargir son déficit l’an prochain pour assurer un socle de croissance d’au moins 4%,,,,,,,,,3.0,Tariffs and immigration constraints keep inflation sticky,2,l’inflation se maintiendra autour de 3%,,,,,,,,,,,,,,,,,,,,
EFG,G1 Direct peers,EFG_outlook_2026.pdf,,,,,2.1,EFG still sees the U.S. as the strongest advanced economy,8,We believe that the US is set to be the strongest advanced economy in 2026 and indeed the latest IMF projections also reflect this view.,1.2,Lower ECB rates and German fiscal support lift Europe,8,The lagged impact of lower European Central Bank rates will provide a tailwind to regional growth in 2026 and it is expected that the German economy will receive a significant boost from fiscal spending.,,,,,,,,,,,,,,,,,,,,,3.0,EFG doubts the Fed will cut much below 3%,10,we doubt the Federal Reserve will reduce rates much below 3% given strong real growth and inflation which is still sticky.,,,,,,,,,,,,
Lazard,G1 Direct peers,lazard_outlook_2026.pdf,,,,,1.35,Tariffs and immigration drag lower sustainable U.S. growth,7,US trade policies and much stricter enforcement of immigration policies have led to a downshift in sustainable GDP growth from 1.7%-2.0% previously to perhaps 1.2%-1.5% looking forward.,1.2,German fiscal support can push eurozone growth above consensus,14,My base case is that Eurozone GDP could expand more than the current consensus expectation for 1.1% growth in 2026.,,,,,,,,,,,,,3.5,Tariffs push U.S. CPI above 3.5% in early 2026,4,US Consumer Price Index inflation rate is likely to top 3.5% in the first half of 2026.,1.9,Eurozone inflation falls below the ECB target,12,I expect inflation to fall below the European Central Bank's 2% target.,,,,,,,,,,,,,,,,
Berenberg,G1 Direct peers,Berenberg - Horizon_Q1-2026.pdf,2.4,World growth stays close to 2025 levels,7,World* 2.5 - 2.4 - 2.3 -,2.0,AI investment offsets weaker labour and demand,7,USA 2.0 2.0 1.8 2.0 1.5 2.0,1.4,Defence and infrastructure spending support Europe,7,Eurozone 1.4 1.4 1.2 1.1 1.5 1.4,4.9,China stays resilient on AI and productivity push,7,China 4.9 4.9 4.3 4.5 4.1 4.3,,,,,,,,,2.8,Tariffs and migration restrictions keep inflation elevated,7,USA 2.8 2.8 3.0 2.9 2.5 2.5,2.1,Eurozone inflation stays near target,7,Eurozone 2.1 2.1 2.0 1.8 2.2 2.0,3.375,Cooling labour market prompts limited Fed cuts,10,Base interest rate 3.50-3.75 3.25-3.50 3.43 3.25-3.50 3.25,2.0,ECB remains on hold as growth improves,10,Base interest rate** 2.00 2.00 1.95 2.00 1.97,,,,,1.20,Slower US momentum and Fed easing weaken the dollar,13,EUR/USD 1.17 1.19 1.19 1.20 1.20
Oddo BHF AM,G1 Direct peers,Oddo BHF - outlook 2026.pdf,,,,,2.0,Tax cuts and easier policy keep U.S. growth near 2%,1,GDP growth is projected to be around 2%.,1.1,Europe continues a modest recovery on lower rates and German stimulus,2,The modest recovery is expected to continue in 2026 based on lower household savings and an acceleration in the German economy thanks to Merz's stimulus plan.,,,,,,,,,,,,,,,,,1.9,Oddo sees eurozone inflation just under target,2,inflation is expected to remain just below the 2% target.,,,,,2.0,Oddo expects the ECB to stay on hold,2,The ECB completed its cycle of rate cuts in June 2025 and is not expected to lower its key rates further in this context.,,,,,,,,
Candriam,G1 Direct peers,Candriam - outlook 2026.docx,,,,,1.6,AI investment still supports the U.S. but growth slows,docx-unpaginated,Cette croissance devrait ralentir.,1.4,European policy mix turns more supportive in 2026,docx-unpaginated,Le plan ReArm Europe la relance budgetaire allemande et l assouplissement monetaire creeront un policy mix encore plus favorable en 2026.,,,,,,,,,,,,,3.0,Sticky inflation remains a U.S. constraint,docx-unpaginated,la Reserve federale se trouve prise en etau entre une inflation persistante et un marche du travail en deceleration.,,,,,,,,,,,,,,,,,,,,
BlackRock,G2 Market giants,BlackRock - outlook-2026.pdf,,,,,2.0,AI capex helps U.S. growth hold up in 2026,5,"We see AI capital spending still supporting growth in 2026, allowing growth to hold up even as the labor market keeps cooling.",,,,,,,,,,,,,,,,,3.0,BlackRock still expects inflation to stay sticky above target,5,Yet inflation could prove sticky above the Fed's 2% target.,,,,,,,,,,,,,,,,,,,,
